"1911",,,,,,,,,,,,,,2.2,3.84,7.19,10.8,9.72,9.69,12.2,12.4,15.6,13.3,11.7,10.3,9.4,6.35,4.38,3.46,2.82,2.58,2.21,2.01,2.01,1.98,1.73
"1912",1.73,2.67,1.76,1.44,1.44,1.2,1.2,1.2,1.14,1.16,1.2,1.22,1.87,2.15,2.83,5.59,6.82,7.17,12,17.2,16.9,19.6,16.4,16.4,9.4,5.64,5.09,4.34,3.63,3.36,3.13,2.87,2.67,2.64,2.58,2.88
"1913",2.38,2.49,2.88,2.8,2.49,2.29,2.23,2.01,2.01,2.01,2.01,1.87,2.07,3,3.46,4.92,7.76,11.8,8.23,17.3,20.7,26.4,18.2,13.5,11.2,9.14,4.79,3.21,2.55,1.89,1.73,1.53,1.39,1.14,0.96,0.99
"1914",1,0.92,0.9,0.9,0.95,0.9,0.88,0.9,0.9,0.9,0.9,0.8,0.85,1.03,3.33,9.36,13.6,29.3,27,31.2,23.1,22.1,24,22.6,19.3,19.9,11.7,6.97,4.5,3.23,2.75,2.49,2.46,2.21,2.04,1.86
"1915",2.17,1.73,1.4,1.44,1.76,1.38,1.2,1.2,1.17,1.1,1.18,1.52,4.54,7.67,7.22,11.8,22.1,17.7,22.4,18.4,20.1,23.5,29.1,25.5,13.5,10.4,11.6,,,,,,,,,
"1925",,,,,,,,,,,,,,,,10,13.7,15.2,21.2,18.9,26,25.1,19.2,17.1,15.8,11,7.8,5.94,4.53,3.71,2.98,2.66,2.6,2.42,2.4,2.19
"1926",2.06,2.06,1.9,1.95,1.9,1.9,1.86,1.8,1.69,1.65,1.65,1.62,1.55,3.31,5.27,5.62,9.18,16.2,14.9,15.7,18.2,23.2,27.7,20.5,18,12,7.91,6.76,5.17,4.31,3.64,3.21,2.94,2.64,2.4,2.28
"1927",,,,1.88,1.7,1.7,1.68,1.58,1.55,1.55,1.55,2.39,2.68,2.6,4.03,4.89,6.52,8.88,13,23.1,22.6,22.4,20.2,18.4,12.5,7.64,5.19,,,,,,,,,
"1928",,,,,,,,,,1,1,1,1.7,3.93,5.08,10.2,11,14.6,19.9,15,22.2,19,17.6,18.6,9.96,7,5.65,4.46,3.7,3.02,2.56,2.2,1.84,1.8,1.6,1.42
"1929",1.36,1.2,1.14,1.06,0.97,1,1.08,1.06,0.97,1.05,1.04,1.26,2.06,2.42,3.26,5.96,11.3,11.7,12.6,24.4,27.9,26.9,17.5,15.3,12.1,9.92,7.69,4.82,3.65,2.96,2.5,2.32,2.2,2,1.78,1.71
"1930",1.63,1.13,1.06,1.04,1.04,1.04,0.91,0.88,0.87,0.87,0.86,0.85,1.43,2.57,3.81,6.42,11,13.5,18.5,30.4,29.3,30,21.2,14,10.8,7.78,5.76,4.43,3.72,2.94,3.04,2.75,2.53,2.36,2.3,2.21
"1931",2.05,1.92,1.9,1.88,1.82,1.76,1.54,1.43,1.49,1.52,1.63,1.65,1.73,2.96,3.38,8.84,13.6,15.9,22.9,23.2,17.8,18.4,14.6,17.6,15.5,10.2,8.18,8.25,5.7,4.05,3.08,2.72,2.51,2.16,2.02,1.91
"1932",1.79,1.69,1.72,1.6,1.56,1.53,1.5,1.5,1.47,1.44,1.4,1.47,1.58,1.76,5.82,7.48,10.1,9.12,12.1,25,21.6,15.1,11.7,11.4,9.05,7.29,5.31,4.25,3.44,2.87,2.23,1.92,1.72,1.58,1.42,1.35
"1933",1.85,1.42,1.32,1.29,1.17,1.2,1.12,1.2,1.05,1.24,1.02,1.17,2.1,2.39,5.17,10.5,11,15.5,14.8,19.5,23.6,22.4,29.3,25.1,14.2,10.6,6.78,5.22,4.26,3.43,3.21,2.75,2.72,2.57,2.4,2.25
"1934",1.98,1.9,1.78,1.78,1.8,1.8,1.8,1.8,1.8,1.76,1.68,1.64,1.8,2.12,5.34,8.67,16.7,17.8,15.9,12.2,18.5,16.4,20.4,17.5,13.2,9.53,8.1,5.93,4.4,3.81,3.15,2.75,2.93,2.79,2.34,2.44
"1935",1.98,1.98,1.95,1.88,2.21,2.7,2.99,2.12,1.79,1.62,1.33,1.67,2.1,4.21,4.26,10.6,14.4,11.9,14.6,18,17.3,30.7,25.4,15.9,13.3,7.78,4.11,3.24,2.98,2.49,2.36,1.98,1.87,1.78,1.34,1.16
"1936",1.36,1.24,1.29,1.3,1.14,1.05,1.08,1.08,0.97,1.18,1.39,1.1,1.21,4.05,6.77,8.31,11,8.45,12.8,14.1,17.6,12.1,12.2,10.8,7.01,6.06,5.2,4.52,3.98,3.55,3.47,2.96,2.76,2.6,2.52,1.72
"1937",1.08,1.11,1.17,1.23,1.25,1.24,1.18,1.16,1.1,1.19,1.18,1.44,2.39,2.7,3.71,5.19,6.97,7.93,10.6,16.6,31.3,20,12.2,16.7,13.9,7.43,5.48,4.38,3.72,3.27,2.96,2.64,2.09,2.02,1.86,1.55
"1938",2.21,2.28,2.18,2.01,1.9,1.65,1.29,1.36,1.45,1.34,1.25,1.36,2.43,4.4,5.33,4.95,5.34,6.67,9.5,12,20,11.8,13.6,11.3,6.94,4.15,3.83,3.44,3.02,2.52,2.28,2.05,1.85,1.58,1.53,1.46
"1939",1.29,1.43,1.41,1.23,1.27,1.08,1.15,1.19,1.02,0.97,0.95,0.88,2.07,4.44,4.39,4.96,7.96,9.68,12,16.5,21.5,19.3,19.4,14.2,10.2,6.54,4.4,3.78,2.99,2.62,2.2,2.11,2.14,1.91,1.54,1.35
"1940",1.01,0.85,1.12,1.29,1.26,1.19,1.19,1.14,0.81,0.79,0.81,1.05,1.69,1.53,4.24,7.22,9.17,12.8,11.2,10.5,15.6,19.2,13,8.76,7.38,5.97,4.85,4.12,3.58,3.1,2.84,2.58,2.26,2.23,1.91,1.8
"1941",1.38,1.32,1.48,1.35,1.32,1.34,1.32,1.3,1.28,1.26,1.34,1.96,2.71,4.56,10.6,13.2,18.7,17.8,18.9,12.9,15.6,28,17.9,14.4,11.3,10,8.34,5.95,4.71,3.99,3.29,2.64,2.38,2.38,2.36,2.06
"1942",1.73,1.6,1.6,1.6,1.69,1.45,1.62,1.57,1.47,1.75,1.53,1.65,3.2,6.43,5.51,7.86,2.28,25.5,25.9,29.2,28.6,25.5,20.4,19.6,17.3,10.7,5.58,4.18,3.75,3.44,3.73,3.42,3.08,2.86,2.59,2.42
"1943",2.31,2.24,2.16,2.1,1.95,1.9,1.9,1.87,1.77,1.85,1.86,1.71,1.66,2.57,3.75,5.9,5.99,8.14,12.8,20,20.2,22.4,18.2,16.7,13.8,13.2,8.18,5.27,4.7,4.26,3.84,3.45,3.15,3.03,3,2.87
"1944",2.25,2.02,2.02,1.96,1.85,1.8,1.8,1.8,1.76,1.66,1.66,1.7,3.33,4.37,4.85,5.98,7.73,10.1,20.8,26.4,30.5,27.1,22.9,15.8,14,11.2,7.65,5.27,3.88,3.21,2.74,2.51,2.37,2.45,2.21,2.08
"1945",2.02,2,2,2.01,2.04,1.92,1.86,1.85,1.87,1.88,1.92,2,2.16,3,5.68,10.6,10.3,13.3,14.5,16.4,21.3,18.7,20.7,14.6,10.9,10,7.73,5.76,4.62,3.69,3.34,2.98,2.64,2.54,2.5,2.44
"1946",2.38,2.37,2.36,2.21,2.2,2.16,2.16,2.15,2.12,2.12,2.72,3.4,3.65,5.09,7.47,10.6,10.8,11.9,12.1,15,25,30.1,20.3,13.2,10.8,10.3,7.76,6.49,5.55,4.89,4.23,3.54,3.51,2.83,2.72,2.7
"1947",2.39,2.25,2.14,2.09,2.03,1.96,1.94,1.84,1.87,1.84,1.97,1.96,2.01,3.75,5.54,7.09,8.12,9.54,10.5,15.9,21.2,21.6,18.1,17,12.7,9.74,6.96,5.61,4.62,4.02,3.57,3.16,3,2.76,2.54,2.52
"1948",2.52,2.52,2.43,2.26,2.04,1.85,1.72,1.7,1.74,1.67,1.68,2.43,3.55,3.68,4.13,5.11,9.05,10.3,17.1,19,25.8,26.7,23.2,16.3,15.2,7.88,6.07,5.51,4.75,4.19,3.75,2.93,2.64,2.56,2.2,2.19
"1949",2,1.81,1.8,1.8,1.8,1.78,1.64,1.64,1.6,1.62,1.5,1.66,2.57,3.58,4.66,5.4,7.21,14,15.2,14.5,20.1,23.3,19.6,16.1,9.96,7.46,6.03,5.18,4.44,4.01,3.7,3.29,3.06,3.01,2.81,2.4
"1950",2.24,2,2,1.98,1.96,1.88,1.82,1.8,1.74,1.67,1.71,1.69,2.43,4.67,4.27,6.7,8.76,11.3,17.7,22.8,20.9,27.4,24.9,18.2,9.26,7.51,5.44,4.38,3.85,3.56,3.08,2.83,2.68,2.46,2.36,2.15
"1951",2.1,1.94,2,2,1.88,1.74,1.8,1.8,1.8,1.8,1.75,1.58,1.91,3.47,7.18,7.12,6.43,7.64,9.47,9,12.5,17.3,14.3,10.6,7.12,6.72,6.25,5.65,5.02,4.61,4.14,3.77,3.06,2.83,2.72,2.6
"1952",2.34,1.94,1.92,1.77,1.75,1.75,1.72,1.62,1.62,1.62,1.92,2.37,2.72,3.74,5.37,6.97,10.1,12.5,13.7,22.7,20.1,24.4,23.3,18.5,12.8,8.9,6.73,5.36,4.56,4.05,3.48,3.02,2.95,2.5,2.41,2.21
