"1926",4.3,7.5,4,5.7,12.8,5.7,4.1,13.4,11.8,13.4,27.2,38.3,0.6,23.2,51.6,29.6,12.3,26.9,30.6,15.7,10.1,0,0,10.3,0.7,22.4,1.8,26.5,0,0,8.8,12.4,0,3.7,8.3,2.2
"1927",6.4,5.1,1.6,0.5,8.6,0.6,5.1,9.8,15.4,6.3,35,0,7.6,6.4,98.5,1.8,3.1,7.7,9.2,0,4.6,0,0,17.1,7,6.8,23.5,0,5.6,1.5,12.2,3.3,17.2,21.8,7.1,5.2
"1928",9,11.7,1.9,1.9,0.1,7.9,12.6,16,3.4,18.8,21.2,30.2,18.2,44,37.8,5.8,28,1.5,18,15.8,16.8,30.4,23.5,17.6,11.5,36.3,0,12.5,1,13.5,20.3,10.1,6.6,0.5,14.9,11.8
"1929",7.1,1.1,0,3.5,3.1,12.3,2.6,2.6,14.1,17.6,6.3,19.5,51.3,3,57.2,2.4,10.8,37.1,27.7,30.1,1.5,13.6,2.2,0.5,0,0,21.9,7.4,2.3,1.7,1,4.5,10.2,7.8,4.9,2
"1930",0,3,2.4,1.4,8.2,9.1,0,1.3,22.4,22.6,17.4,32.4,42.5,3.4,20.5,22.2,27,16.9,9.4,7.8,0,0,55,7.3,0,6.2,0.5,4.6,34.8,3.5,0,0,6.6,17.4,15.3,3.6
"1931",7,0,12,7,1,1,7,2,9,18,18,19,43,18,43,54,8,39,18,0,26,18,4,0,2,0,0,37,16,3,9,2,22,10,1,14
"1932",0,5,12,8,4,1,15,0,8,33,8,49,17,36,63,0,47,2,12,2,33,42,0,13,14.5,0.3,9.9,10.8,14.3,18,4.5,12.2,19.9,0.8,6.1,7.6
"1933",0,0.9,2.8,9.9,4.6,4.8,14,18.4,12.3,15.3,21.3,1.5,40.1,36.7,25.4,54.7,17,15.1,6.7,0,15.6,0.7,0,1.7,55.3,0,0.3,0.5,23.6,14.8,0,4.4,16.7,4.6,0,14.2
"1934",1.7,0,4,10.5,22.3,3.3,5.6,9.6,52.5,27,39,17,20,38,49,67,12,20,46,3,74,7,13,12,46,18,10,33,0,2,25,3,0,4.1,17.4,10.4
"1935",6,0,0,11,2,1,7.8,25.1,50.3,4,22,13,18,28,2,28,24,22,25,2,19,1,1,0,24,4,21,15,22,2,36,14,11,22,2,8
